# Written on  7Apr2024 at 17:13:11 
# Input file comment: Au
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)
        38   0.000000000      0.5020978996       0.000000000       115.8731241    
        38   0.000000000      0.5020978996       0.000000000       117.5375615    
        38   0.000000000      0.5020978996       0.000000000       119.3553591    
        39 -0.2510489347      0.7531468343      0.2510489347       99.50131495    
        39 -0.2510489347      0.7531468343      0.2510489347       101.9524369    
        39 -0.2510489347      0.7531468343      0.2510489347       103.0276487    
        39 -0.2510489347      0.7531468343      0.2510489347       104.1036646    
        39 -0.2510489347      0.7531468343      0.2510489347       108.2040711    
        39 -0.2510489347      0.7531468343      0.2510489347       112.2183805    
        39 -0.2510489347      0.7531468343      0.2510489347       113.5034572    
        39 -0.2510489347      0.7531468343      0.2510489347       113.9359341    
        39 -0.2510489347      0.7531468343      0.2510489347       116.5945036    
        39 -0.2510489347      0.7531468343      0.2510489347       118.1971919    
        40 -0.5020978845       1.004195784      0.5020978845       100.2247269    
        40 -0.5020978845       1.004195784      0.5020978845       105.6785798    
        40 -0.5020978845       1.004195784      0.5020978845       106.6643627    
        40 -0.5020978845       1.004195784      0.5020978845       108.5820734    
        40 -0.5020978845       1.004195784      0.5020978845       108.8243862    
        40 -0.5020978845       1.004195784      0.5020978845       110.4820388    
        40 -0.5020978845       1.004195784      0.5020978845       110.8783515    
        40 -0.5020978845       1.004195784      0.5020978845       112.3572849    
        40 -0.5020978845       1.004195784      0.5020978845       116.8937896    
        40 -0.5020978845       1.004195784      0.5020978845       118.4281021    
        41  0.7531468343     -0.2510489347     -0.7531468343       98.30416884    
        41  0.7531468343     -0.2510489347     -0.7531468343       100.8994464    
        41  0.7531468343     -0.2510489347     -0.7531468343       102.6788747    
        41  0.7531468343     -0.2510489347     -0.7531468343       104.8808520    
        41  0.7531468343     -0.2510489347     -0.7531468343       108.2541810    
        41  0.7531468343     -0.2510489347     -0.7531468343       112.1268640    
        41  0.7531468343     -0.2510489347     -0.7531468343       112.9566958    
        41  0.7531468343     -0.2510489347     -0.7531468343       114.7682753    
        41  0.7531468343     -0.2510489347     -0.7531468343       116.9704713    
        41  0.7531468343     -0.2510489347     -0.7531468343       118.2984101    
        42  0.5020978996       0.000000000     -0.5020978996       99.70889416    
        42  0.5020978996       0.000000000     -0.5020978996       101.9295116    
        42  0.5020978996       0.000000000     -0.5020978996       102.5324617    
        42  0.5020978996       0.000000000     -0.5020978996       104.7898934    
        42  0.5020978996       0.000000000     -0.5020978996       106.1620648    
        42  0.5020978996       0.000000000     -0.5020978996       106.7638486    
        42  0.5020978996       0.000000000     -0.5020978996       113.1763980    
        42  0.5020978996       0.000000000     -0.5020978996       113.8514303    
        42  0.5020978996       0.000000000     -0.5020978996       116.5871481    
        42  0.5020978996       0.000000000     -0.5020978996       119.0881903    
        43  0.5020978996       0.000000000       0.000000000       95.49528031    
        43  0.5020978996       0.000000000       0.000000000       99.66538706    
        43  0.5020978996       0.000000000       0.000000000       102.4405671    
        43  0.5020978996       0.000000000       0.000000000       103.7755179    
        43  0.5020978996       0.000000000       0.000000000       107.9499233    
        43  0.5020978996       0.000000000       0.000000000       111.6649198    
        43  0.5020978996       0.000000000       0.000000000       115.1519426    
        43  0.5020978996       0.000000000       0.000000000       115.7596157    
        43  0.5020978996       0.000000000       0.000000000       117.5204852    
        43  0.5020978996       0.000000000       0.000000000       120.0956977    
        44  0.2510489498      0.2510489498      0.2510489498       97.16967046    
        44  0.2510489498      0.2510489498      0.2510489498       101.4409802    
        44  0.2510489498      0.2510489498      0.2510489498       102.1972858    
        44  0.2510489498      0.2510489498      0.2510489498       103.9241607    
        44  0.2510489498      0.2510489498      0.2510489498       105.0445867    
        44  0.2510489498      0.2510489498      0.2510489498       111.8510555    
        44  0.2510489498      0.2510489498      0.2510489498       112.0731184    
        44  0.2510489498      0.2510489498      0.2510489498       115.2734525    
        44  0.2510489498      0.2510489498      0.2510489498       118.0365450    
        44  0.2510489498      0.2510489498      0.2510489498       118.4443763    
